市区町村コード,筆数合計,公共座標の筆数,任意座標の筆数,数字以外で始まる地番の筆数
20215,169961,51495,99750,18716
20217,376820,283245,32552,61023
20218,185681,109743,57146,18792
20219,123987,88800,458,34729
20220,296925,218423,36123,42379
20303,58491,46684,154,11653
20304,34890,23932,5378,5580
20305,32301,19236,7989,5076
20306,22862,18119,22,4721
20307,17524,13627,81,3816
20309,95247,80090,1955,13202
20321,91982,79750,1545,10687
20323,53084,42644,2393,8047
20324,57441,45005,0,12436
20349,41832,7591,28896,5345
20350,60925,52470,246,8209
20361,50079,346,45998,3735
20362,102105,81821,6798,13486
20363,40432,7470,29711,3251
20382,82744,40872,25904,15968
20383,79809,62716,5426,11667
20384,48394,23056,20753,4585
20385,34256,28658,0,5598
20386,45083,26570,13160,5353
20388,22047,14975,5016,2056
20402,68130,62034,42,6054
20403,60889,51364,322,9203
20404,57272,48738,1435,7099
20407,75092,63915,817,10360
20409,7716,5777,791,1148
20410,19812,16747,0,3065
20411,37118,31134,35,5949
20412,10693,8264,235,2194
20413,23858,11869,9050,2939
20414,26260,21876,174,4210
20415,44921,39021,16,5884
20416,54942,46426,0,8516
20417,27610,15529,8186,3895
20422,29882,3509,23711,2662
20423,47372,28452,11967,6953
20425,28123,20561,2647,4915
20429,14210,8985,3072,2153
20430,27664,19718,3999,3947
20432,132574,65043,52891,14640
20446,39612,5267,30223,4122
20448,49194,25967,17553,5674
20450,22581,17698,2148,2735
20451,23335,1010,20563,1762
20452,82323,8912,62288,11123
20481,63372,26255,31053,6064
20482,33858,25781,3340,4737
20485,102410,25454,64128,12828
20486,103426,107,55449,47870
20521,72477,18849,46522,7106
20541,38961,54,36318,2589
20543,38192,26858,6640,4694
20561,46790,40451,2131,4208
20562,45377,7147,33493,4737
20563,38222,2841,32292,3089
20581,88,0,1,87
20583,75895,54638,11613,9644
20588,103294,89121,1771,12402
20589,2,0,0,2
20590,88007,46362,29699,11946
20602,54872,33481,13914,7477
21201,453836,64131,364290,25415
21202,271779,13152,236593,22034
21203,591302,49377,506525,35400
21204,131821,18651,107841,5329
21205,324055,31523,272655,19877
21206,381987,118781,239909,23297
21207,101288,2618,93400,5270
21208,138265,46671,84697,6897
21209,121517,5085,107810,8622
21210,283998,125726,137268,21004
21211,133606,33290,93739,6577
21212,106445,41311,58084,7050
21213,169189,12091,151763,5335
21214,149740,9988,134114,5638
21215,133714,1719,124753,7242
21216,85225,7679,72584,4962
21217,254330,41666,187634,25030
21218,151359,47409,86025,17925
21219,461664,19563,416997,25104
21220,376703,20573,334586,21544
21221,117771,39184,69964,8623
21302,25322,20,23372,1930
21303,25627,367,23217,2043
21341,113460,5972,100019,7469
21361,77690,10643,62743,4304
21362,42339,223,39143,2973
21381,38329,4444,31082,2803
21382,44447,5081,36713,2653
21383,52304,0,49074,3230
21401,213180,18217,175670,19293
21403,63157,3503,56063,3591
21404,56421,15987,36067,4367
21421,16720,5807,10306,607
21481,2,0,2,0
21483,3,0,3,0
21501,20779,484,19656,639
21502,22328,3464,17765,1099
21503,40485,9194,28887,2404
21504,58907,2299,52426,4182
21505,91697,3543,84311,3843
21506,115262,40158,67098,8006
21507,30639,12436,15615,2588
21521,58826,4531,50839,3456
21523,3,1,2,0
21563,1,0,0,1
21567,1,0,0,1
21569,1,0,0,1
21604,29946,5522,22327,2097
22101,486344,56630,377290,52424
22102,229455,11717,199810,17928
22103,446945,24554,393431,28960
22131,174062,25451,140648,7963
22132,131650,107165,16883,7602
22133,209640,142562,54521,12557
22134,113671,99788,5599,8284
22135,332591,105086,203781,23724
22136,151434,122154,23173,6107
22137,268096,13104,232152,22840
22201,1,0,1,0
22202,1,0,1,0
22203,289055,26747,235662,26646
22205,74974,3380,67373,4221
22206,126223,57247,59859,9117
22207,376826,83626,247799,45401
22208,149699,39332,103686,6681
22209,320228,127108,160157,32963
22210,506823,27243,421511,58069
22211,303702,207229,72131,24342
22212,205020,59361,132168,13491
22213,404452,183336,191028,30088
22214,355166,25844,295576,33746
22215,192366,111717,65269,15380
22216,204243,109616,80675,13952
22219,91955,1973,80603,9379
22220,122975,12165,97259,13551
22221,134513,31809,94891,7813
22222,184570,45233,115226,24111
22223,125646,118593,93,6960
22224,173057,162963,90,10004
22225,113855,42768,61306,9781
22226,170077,160802,0,9275
22301,48948,973,44210,3765
22302,51275,1041,44142,6092
22304,88511,472,76695,11344
22305,54327,4583,42389,7355
22306,52756,3684,42795,6277
22325,69785,43310,21758,4717
22341,37544,9202,23075,5267
22342,51852,37029,11719,3104
22344,81363,62960,9097,9306
22361,10143,1,7,10135
22381,1,0,0,1
22382,1,0,1,0
22383,3095,0,0,3095
22424,45710,42617,191,2902
22429,88352,4715,73911,9726
22461,73476,45679,20167,7630
22503,275,0,0,275
23101,49757,280,48511,966
23102,20321,1622,17737,962
23103,66520,2601,58379,5540
23104,64532,9636,52305,2591
23105,70372,8673,57176,4523
23106,24928,13334,11322,272
23107,35693,0,34962,731
23108,40307,0,39363,944
23109,23527,0,23085,442
23110,111926,4994,102981,3951
23111,76843,8057,66308,2478
23112,65038,1283,61367,2388
23113,94184,10500,80404,3280
23114,125173,36960,85656,2557
23115,48771,981,47218,572
23116,55779,4296,50748,735
23201,489766,26469,440726,22571
23202,585572,38610,509043,37919
23203,428427,14269,389681,24477
23204,158073,19248,131689,7136
23205,116786,6966,105769,4051
23206,219729,52344,160233,7152
23207,316408,2194,300806,13408
23208,72223,2244,68155,1824
23209,92749,3595,85953,3201
23210,133873,18065,109716,6092
23211,941427,53502,832167,55758
23212,207760,14439,185491,7830
23213,347202,58353,276790,12059
23214,181193,3853,169077,8263
23215,127126,91,119930,7105
23216,120070,4738,110512,4820
23217,107443,26884,76764,3795
23219,177440,11660,154781,10999
23220,223587,7908,206759,8920
23221,355034,835,331066,23133
23222,113882,2521,108474,2887
23223,112717,5974,101175,5568
23224,111518,8955,99705,2858
23225,62024,7807,51220,2997
23226,58166,10685,46726,755
23227,46752,3,44784,1965
23228,43071,9143,32357,1571
23229,68860,16317,50189,2354
23230,83932,4216,76828,2888
23231,281981,7973,256734,17274
23232,133515,0,126753,6762
23233,59884,7184,50604,2096
23234,64057,1113,59093,3851
23235,73495,2129,68290,3076
23236,62649,33649,27381,1619
23237,101628,2542,94335,4751
23238,44745,6244,36890,1611
23302,48050,7523,38830,1697
23342,17168,14,15748,1406
23345,8,0,8,0
23361,36287,26872,545,8870
23362,36075,15599,19662,814
23421,27,0,25,2
23422,22,0,0,22
23423,88,0,88,0
23424,28033,2180,24471,1382
23425,39713,1500,35926,2287
23427,14515,1226,12751,538
23441,63565,1536,59176,2853
23442,78924,868,74961,3095
23445,83741,0,79422,4319
23446,94236,1429,88488,4319
23447,61384,1221,58420,1743
23481,2117,0,0,2117
23482,3676,1,50,3625
23483,1756,0,0,1756
23501,104839,7550,91393,5896
23521,115,3,14,98
23561,102432,2650,91910,7872
23562,59106,256,54197,4653
23563,38470,123,35305,3042
23603,8,0,0,8
24201,795954,61962,617946,116046
24202,436250,50249,340066,45935
24203,263795,28888,202665,32242
24204,542798,52360,386795,103643
24205,231264,14865,188197,28202
24207,369802,20262,307949,41591
24208,176176,17277,125384,33515
24209,51860,466,42155,9239
24210,179898,3843,138308,37747
24211,70120,22916,34984,12220
24212,169382,2559,125583,41240
24214,225527,24264,165138,36125
24215,217521,81606,98550,37365
24216,718394,109640,470741,138013
24302,1,0,1,0
24303,17924,4809,12798,317
24322,4,0,0,4
24324,44447,20063,21123,3261
24341,96131,1693,84289,10149
24343,16663,2958,12414,1291
24344,19189,3710,13948,1531
24382,74,0,0,74
24384,1,0,0,1
24405,2,0,0,2
24422,1,0,1,0
24441,136454,18819,93541,24094
24442,73638,3326,63526,6786
24443,113340,6396,88573,18371
24461,63608,39,54211,9358
24470,104548,6130,52452,45966
24471,78967,2211,64640,12116
24472,137404,1595,99803,36006
24543,101225,4905,82716,13604
24561,73730,12185,42608,18937
24562,94332,4791,70785,18756
25201,376323,45759,293038,37526
25202,216953,10277,178214,28462
25203,479131,102314,318797,58020
25204,152762,25430,110434,16898
25205,66,0,50,16
25206,116673,8541,99735,8397
25207,103395,11057,81458,10880
25208,78333,8739,62274,7320
25209,339505,30662,267839,41004
25210,94099,14420,64697,14982
25211,65331,8845,51363,5123
25212,293443,60300,197788,35355
25213,337109,72769,216763,47577
25214,192098,27791,139071,25236
25361,2,0,2,0
25381,6,0,1,5
25383,115739,19681,81130,14928
25384,39792,13852,19620,6320
25421,1,1,0,0
25425,64093,14408,38621,11064
25441,18876,3461,12127,3288
25442,21523,8384,10173,2966
25443,61125,4920,46711,9494
25502,3,0,3,0
26101,77551,3684,68636,5231
26102,40861,4528,33035,3298
26103,133207,5282,111705,16220
26104,47997,3479,41648,2870
26105,30246,2059,25000,3187
26106,40450,3076,34165,3209
26107,52160,6653,42775,2732
26108,187418,7578,157248,22592
26109,158272,13335,136316,8621
26110,88812,4896,79947,3969
26111,98134,14850,75215,8069
26201,496916,149289,257109,90518
26202,336700,5541,284278,46881
26203,296529,15974,221869,58686
26204,134576,4141,125022,5413
26205,159309,24067,105729,29513
26206,220603,14839,168318,37446
26207,77278,4151,69618,3509
26208,38549,269,36551,1729
26209,62487,895,59012,2580
26210,60517,7051,50221,3245
26211,81235,68057,5667,7511
26212,512098,28123,391541,92434
26213,245213,20365,182742,42106
26214,130226,50857,63924,15445
26303,16170,0,15089,1081
26322,27075,3245,22049,1781
26343,24349,327,18827,5195
26344,39749,223,31520,8006
26364,15315,0,13387,1928
26365,35579,14254,15142,6183
26366,57465,1033,51639,4793
26367,34127,616,26476,7035
26407,184162,12402,132624,39136
26463,63358,659,53276,9423
26465,117092,38606,55490,22996
27102,20821,2,20281,538
27103,22969,60,22075,834
27104,20776,295,19768,713
27106,21582,0,21048,534
27107,20345,15496,4803,46
27108,25056,9547,15197,312
27109,18083,1153,16233,697
27111,15581,3214,12078,289
27113,31612,316,30380,916
27114,45668,0,43948,1720
27115,32476,0,31746,730
27116,61939,0,59878,2061
27117,32387,8,31158,1221
27118,42599,16,41383,1200
27119,38935,0,36975,1960
27120,47851,0,46213,1638
27121,53173,0,51683,1490
27122,48403,4178,43017,1208
27123,45455,6530,37296,1629
27124,33869,2920,29218,1731
27125,32793,3549,28549,695
27126,66427,5307,57847,3273
27127,32766,100,31303,1363
27128,33920,2490,30461,969
27141,62778,377,59976,2425
27142,77255,768,72459,4028
27143,54067,27,49951,4089
27144,76853,3813,69852,3188
27145,73001,2017,66529,4455
27146,57222,2597,52054,2571
27147,38434,217,35262,2955
27201,1,0,1,0
27202,181891,10388,156201,15302
27203,152640,7911,138408,6321
27204,64949,549,58327,6073
27205,106921,2266,99753,4902
27206,41406,1729,36846,2831
27207,230358,3441,206464,20453
27208,93319,3109,81440,8770
27209,64904,15825,46357,2722
27210,228108,29970,182292,15846
27211,164104,18597,129618,15889
27212,167787,1287,158157,8343
27213,103245,2554,92085,8606
27214,89401,7850,73633,7918
27215,131961,3382,119162,9417
27216,114093,9891,94484,9718
27217,80597,957,74350,5290
27218,71299,1798,65616,3885
27219,156742,9014,131865,15863
27220,83918,10117,65564,8237
27221,65444,0,60426,5018
27222,91235,0,85228,6007
27223,68049,4347,59594,4108
27224,51639,4051,44300,3288
27225,34948,1387,31951,1610
27226,42264,585,39228,2451
27227,269931,8669,248997,12265
27228,69353,3647,58231,7475
27229,43418,14726,23905,4787
27230,62793,564,57743,4486
27231,37809,186,35080,2543
27232,54150,5088,44360,4702
27301,18880,105,17107,1668
27321,34296,1164,28265,4867
27322,57997,7965,43011,7021
27341,12853,0,11591,1262
27361,45555,4730,37010,3815
27362,7213,5712,306,1195
27366,40186,272,32770,7144
27381,26260,61,22957,3242
27382,33204,945,27792,4467
27383,20459,177,17710,2572
28101,52373,9946,39418,3009
28102,45844,18030,25286,2528
28105,38231,20159,16620,1452
28106,47311,3740,41700,1871
28107,62356,9295,49372,3689
28108,95811,10524,80061,5226
28109,235827,63801,146827,25199
28110,35813,24868,9693,1252
28111,210851,86852,98700,25299
28201,673641,132995,452056,88590
28202,183824,23303,151362,9159
28203,170306,94093,63842,12371
28204,186168,20593,148033,17542
28205,213080,12460,162343,38277
28206,28438,5161,21821,1456
28207,100903,11690,78782,10431
28208,78912,13649,54771,10492
28209,549141,53643,422304,73194
28210,285082,143156,109070,32856
28212,110845,13069,85819,11957
28213,105420,27110,65093,13217
28214,141715,19748,110822,11145
28215,215803,90730,92691,32382
28216,78324,59931,8185,10208
28217,120641,22365,88503,9773
28218,114235,76823,19339,18073
28219,169843,37136,104741,27966
28220,184374,51917,98995,33462
28221,290123,24426,219637,46060
28222,211055,35089,145992,29974
28223,341680,155116,140959,45605
28224,237947,114771,71135,52041
28225,190708,84560,81410,24738
28226,293803,49677,187664,56462
28227,228045,163397,22965,41683
28228,158537,64167,73113,21257
28229,236222,67161,140473,28588
28301,63182,16600,35626,10956
28365,85163,39583,34907,10673
28381,62465,38723,14336,9406
28382,28921,3393,23254,2274
28442,54516,36117,8954,9445
28443,56242,38425,7805,10012
28446,58363,39605,7449,11309
28464,56732,5057,48220,3455
28481,87793,27490,34182,26121
28501,236648,41000,160561,35087
28585,187017,25372,131035,30610
28586,139401,6254,112462,20685
28624,1,0,0,1
29201,432668,72486,322201,37981
29202,53893,24424,23489,5980
29203,111315,2463,100363,8489
29204,135018,10252,108687,16079
29205,122366,3016,110378,8972
29206,140777,5843,121161,13773
29207,171940,23459,129764,18717
29208,89156,1993,76499,10664
29209,126786,17227,98035,11524
29210,64362,29548,29348,5466
29211,63027,50325,1981,10721
29212,214728,68437,120224,26067
29322,69558,50932,9455,9171
29342,39809,19642,14701,5466
29343,19313,6814,11041,1458
29344,39128,6463,29361,3304
29345,14209,372,12493,1344
29361,15147,49,13738,1360
29362,11350,0,10123,1227
29363,57403,2026,50321,5056
29382,2,0,2,0
29385,23630,2141,18615,2874
29386,31396,3149,23016,5231
29401,33410,259,29146,4005
29402,33849,10732,18635,4482
29424,18509,3880,13416,1213
29425,19125,6853,10164,2108
29426,39665,28381,6084,5200
29427,22501,8392,10958,3151
29441,60606,37010,13289,10307
29442,42026,34246,4129,3651
29443,45581,19341,19407,6833
29444,14356,6201,5562,2593
29446,22736,8982,9741,4013
29447,10230,367,7300,2563
29449,63624,7,59089,4528
29450,12089,5261,5485,1343
29451,7613,1829,4957,827
29452,32296,144,29796,2356
29453,34057,2845,26644,4568
30201,396119,100297,259231,36591
30202,128754,103468,8669,16617
30203,134689,65423,52408,16858
30204,52893,40443,7209,5241
30205,59615,29026,26105,4484
30206,300924,160146,98059,42719
30207,84117,14615,58870,10632
30208,206130,169028,7638,29464
30209,57458,50100,5,7353
30304,75892,60237,6398,9257
30341,98100,79758,3945,14397
30343,27345,21852,1929,3564
30344,27827,5874,18645,3308
30361,27586,19269,6491,1826
30362,38233,33906,0,4327
30366,159087,129334,11430,18323
30381,13999,11951,0,2048
30382,37933,34803,3,3127
30383,25209,22839,6,2364
30390,64007,40671,18640,4696
30391,66713,36700,21624,8389
30392,82547,69927,5538,7082
30401,85302,27740,46077,11485
30403,8,0,0,8
30404,39076,24142,10243,4691
30406,38452,14983,15802,7667
30421,110361,9090,86067,15204
30422,9631,9116,0,515
30424,51691,4651,40395,6645
30427,6705,3203,2558,944
30428,88326,13709,62671,11946
31201,660653,133802,427875,98976
31202,276528,77942,168396,30190
31203,241372,42965,163655,34752
31204,66818,9617,52973,4228
31302,81591,25648,38862,17081
31325,69567,6532,54373,8662
31328,92061,23674,49262,19125
31329,128493,58400,39396,30697
31364,73918,31487,25457,16974
31368,2615,1728,0,887
31370,87271,66320,6438,14513
31371,107112,52206,33252,21654
31372,72142,54930,3543,13669
31381,1,1,0,0
31384,8561,7144,0,1417
31386,139521,83847,30858,24816
31389,98385,20756,60314,17315
31390,123853,19178,83250,21425
31401,129091,34847,68762,25482
31402,71617,6865,51016,13736
31403,66853,11486,44532,10835
32201,561263,283235,200680,77348
32202,402465,108400,154611,139454
32203,685208,340789,255818,88601
32204,405285,27175,130914,247196
32205,287218,80293,104327,102598
32206,310863,103697,149962,57204
32207,173536,50078,83211,40247
32209,390421,287615,18602,84204
32301,1,0,0,1
32304,6820,72,1,6747
32343,210328,117142,40608,52578
32383,1,0,0,1
32385,2,2,0,0
32386,88518,57842,4855,25821
32441,40659,31132,2017,7510
32448,81550,61983,1918,17649
32449,227622,118995,58294,50333
32501,138815,29319,73200,36296
32503,1,0,0,1
32505,90941,22756,54622,13563
32525,27840,19771,1895,6174
32526,23056,13561,4521,4974
32527,8859,6562,40,2257
32528,121956,77880,19510,24566
33101,508951,230473,271782,6696
33102,134772,59547,73180,2045
33103,218451,171745,43133,3573
33104,179184,132638,45069,1477
33201,108752,2880,1018,104854
33202,747102,408780,247669,90653
33203,465017,376203,516,88298
33204,137749,41949,79023,16777
33205,223880,183364,38,40478
33207,286854,243201,0,43653
33208,224892,180719,928,43245
33209,402376,314967,21835,65574
33210,365137,132271,181667,51199
33211,153443,119036,15,34392
33212,176738,146765,375,29598
33213,210584,170538,1866,38180
33214,452908,355265,20552,77091
33215,327398,258178,45,69175
33216,121654,100601,2,21051
33303,8982,2,140,8840
33321,8241,12,0,8229
33322,1,0,0,1
33323,1,1,0,0
33346,100027,77767,60,22200
33423,19007,16744,0,2263
33445,26435,20445,2145,3845
33461,98529,80366,0,18163
33586,13660,9748,24,3888
33606,149866,116528,162,33176
33622,65135,50109,3572,11454
33623,58461,42949,4099,11413
33643,20905,16263,0,4642
33645,1,1,0,0
33646,4,3,0,1
33663,90413,71723,6,18684
33666,219281,179097,33,40151
33681,205827,169646,103,36078
34101,35979,5587,29037,1355
34102,90830,8291,71638,10901
34103,73329,17039,46990,9300
34104,82520,11471,62158,8891
34105,243849,19926,194629,29294
34106,429612,18785,338068,72759
34107,119642,13912,85402,20328
34108,193666,42949,113613,37104
34202,558309,178379,279592,100338
34203,124123,7287,95625,21211
34204,452799,197031,175379,80389
34205,521163,60302,387549,73312
34207,851672,322583,344870,184219
34208,210951,44920,122028,44003
34209,524701,289542,117468,117691
34210,539016,171231,228210,139575
34211,51220,33518,6488,11214
34212,713382,533850,38537,140995
34213,213484,59945,113262,40277
34214,390354,246760,61439,82155
34215,152869,114818,7311,30740
34302,29613,3253,23230,3130
34304,37235,445,31934,4856
34307,63326,52732,2323,8271
34309,28397,575,23351,4471
34368,132032,100627,15,31390
34369,368191,227543,66810,73838
34402,1,0,1,0
34431,50855,17909,25829,7117
34462,211638,151690,10082,49866
34545,236133,111509,44731,79893
35201,555727,276854,181570,97303
35202,295870,42021,204006,49843
35203,581266,166778,285379,129109
35204,350133,240426,37666,72041
35206,227793,158924,13063,55806
35207,96224,14539,67299,14386
35208,556861,414771,23378,118712
35210,113279,92508,0,20771
35211,205466,133805,32049,39612
35212,155005,114819,4620,35566
35213,239427,100576,93341,45510
35215,375244,85968,211558,77718
35216,128277,102163,157,25957
35305,200249,158941,38,41270
35321,11332,8992,0,2340
35341,28449,23108,0,5341
35343,64556,52158,0,12398
35344,50206,39075,0,11131
35421,1,0,0,1
35461,1695,0,8,1687
35462,4130,1,0,4129
35502,53491,43233,23,10235
35504,3456,0,0,3456
36201,332307,95174,196973,40160
36202,144409,59145,60423,24841
36203,80244,49207,20594,10443
36204,279048,20640,222532,35876
36205,149372,121003,1198,27171
36206,189487,136633,18932,33922
36207,226847,128607,48840,49400
36208,287689,105865,133531,48293
36301,47509,5859,33965,7685
36302,35036,22894,6151,5991
36321,34948,2934,25886,6128
36341,62841,37439,17127,8275
36342,109201,13260,79422,16519
36368,138311,46518,68044,23749
36383,25230,1518,20922,2790
36387,51965,3846,40495,7624
36388,85498,14085,58767,12646
36401,20699,15493,285,4921
36402,23582,18568,665,4349
36403,47388,3142,41350,2896
36404,50440,32175,9698,8567
36405,52006,19747,22930,9329
36422,3,3,0,0
36466,1,1,0,0
36468,103707,67130,13549,23028
36489,101750,41514,45443,14793
37201,650010,428996,81996,139018
37202,230944,92032,93939,44973
37203,152711,9329,121549,21833
37204,67081,52478,408,14195
37205,180920,49432,50160,81328
37206,192955,140157,2,52796
37207,138723,97339,0,41384
37208,352372,203790,0,148582
37322,95218,22566,0,72652
37324,96839,26102,200,70537
37341,104678,37775,44338,22565
37364,9076,7369,0,1707
37381,1,1,0,0
37386,16485,5517,9572,1396
37387,121862,70050,557,51255
37403,20373,3494,14198,2681
37404,56488,10688,32814,12986
37406,127832,90461,12373,24998
38201,678933,138753,185035,355145
38202,589612,200439,48228,340945
38203,407339,104587,66170,236582
38204,153616,98726,8175,46715
38205,180728,2271,74830,103627
38206,347439,110902,19112,217425
38207,339892,95660,22005,222227
38209,15,1,0,14
38210,214681,60762,0,153919
38213,263902,134069,9408,120425
38214,430025,331973,0,98052
38215,130694,24848,0,105846
38302,1,0,0,1
38356,47721,37030,3184,7507
38385,1,0,0,1
38386,218405,130316,0,88089
38401,42590,32721,2328,7541
38402,81404,64398,0,17006
38404,1,0,0,1
38422,188249,120980,0,67269
38442,138708,88749,0,49959
38484,51152,39242,0,11910
38488,124900,93368,0,31532
38506,156238,107400,0,48838
39201,537476,108546,324318,104612
39202,100626,6968,37181,56477
39203,139359,3220,49263,86876
39204,201690,20223,124323,57144
39205,153304,7065,97462,48777
39206,119079,5431,52520,61128
39208,144808,23633,97799,23376
39209,112271,18349,69923,23999
39210,328711,63933,193140,71638
39211,169787,26818,107188,35781
39212,296520,53232,185580,57708
39301,25596,2032,4866,18698
39302,20122,0,0,20122
39303,10803,7450,49,3304
39304,40599,7359,27218,6022
39305,31711,9340,13900,8471
39306,13304,8984,1712,2608
39307,34149,3356,3755,27038
39341,58949,26457,17244,15248
39344,143235,84106,25999,33130
39363,81914,53689,14559,13666
39364,7895,6812,0,1083
39383,10069,0,1,10068
39386,193530,64778,88082,40670
39387,216039,149359,1569,65111
39401,58954,20492,25788,12674
39402,100444,51117,7697,41630
39403,133532,25598,70686,37248
39405,74343,63432,16,10895
39410,45175,35916,1635,7624
39411,106175,45921,310,59944
39412,211114,105402,63284,42428
39424,50667,19455,23999,7213
39427,29658,18866,180,10612
39428,128415,24243,82042,22130
40101,104743,5132,89993,9618
40103,85267,60914,13567,10786
40105,26268,97,24740,1431
40106,92644,1312,86121,5211
40107,236347,35568,173551,27228
40108,51425,7266,41546,2613
40109,197033,22904,160689,13440
40131,141590,11544,121901,8145
40132,89531,1765,82164,5602
40133,40401,5217,32868,2316
40134,103319,2091,96201,5027
40135,152938,16117,126179,10642
40136,54231,4305,47179,2747
40137,123557,53382,56122,14053
40202,164211,23117,128154,12940
40203,456982,278712,121967,56303
40204,114231,7859,95675,10697
40205,235113,195507,16713,22893
40206,85691,22024,54564,9103
40207,129888,104382,6473,19033
40210,369007,345567,119,23321
40211,82566,46444,27965,8157
40212,85930,13605,64725,7600
40213,132339,94772,11704,25863
40214,94039,76896,0,17143
40215,43295,41360,520,1415
40216,92747,35349,49683,7715
40217,107064,91641,1977,13446
40218,41939,29855,9680,2404
40219,46903,45490,0,1413
40220,144877,129681,7976,7220
40221,60794,54218,5838,738
40223,78026,5806,64672,7548
40224,83873,71230,2014,10629
40225,126860,102381,4,24475
40226,141560,18831,100683,22046
40227,125018,96468,432,28118
40228,239934,97252,106926,35756
40229,133710,102158,9260,22292
40230,236304,200864,1386,34054
40231,60972,48935,6317,5720
40305,353,0,0,353
40341,39086,33814,0,5272
40342,36496,29875,92,6529
40343,23263,19830,0,3433
40344,28704,24825,5,3874
40345,38593,2255,31330,5008
40348,24291,21570,7,2714
40349,32053,25951,0,6102
40381,13091,12354,130,607
40382,20922,20481,3,438
40383,51405,48984,145,2276
40384,33125,32573,15,537
40401,24693,2123,19963,2607
40402,295,253,0,42
40421,30467,25209,0,5258
40444,5,0,0,5
40447,84107,38864,32986,12257
40448,27903,23280,2,4621
40463,2,1,1,0
40483,1,1,0,0
40503,36089,30688,0,5401
40522,38835,35853,0,2982
40541,19789,8243,0,11546
40543,13171,16,0,13155
40544,56864,48526,0,8338
40545,6166,0,0,6166
40546,7190,10,0,7180
40601,38166,12210,20174,5782
40602,65524,10223,44770,10531
40604,12200,8101,2707,1392
40605,37474,32899,0,4575
40608,20577,3133,14895,2549
40609,19811,10442,5394,3975
40610,48310,30638,11512,6160
40621,49389,30355,9504,9530
40625,117413,88422,68,28923
40641,3,0,0,3
40642,12915,10448,0,2467
40646,50778,39668,0,11110
40647,95181,70360,3358,21463
41201,408667,316783,47089,44795
41202,565162,384255,835,180072
41203,103428,83446,3226,16756
41204,86190,76649,619,8922
41205,288709,194788,6813,87108
41206,238561,197290,7,41264
41207,121780,22956,0,98824
41208,115293,97588,0,17705
41209,149330,1017,0,148313
41210,115924,89750,7247,18927
41302,3111,1,0,3110
41303,1796,7,0,1789
41304,2056,3,0,2053
41324,2,1,0,1
41327,43178,35604,27,7547
41341,25385,19999,57,5329
41345,16561,13321,111,3129
41346,68232,52244,3010,12978
41364,1,0,0,1
41387,58018,47901,0,10117
41401,76682,4083,65,72534
41423,13959,11756,20,2183
41424,25100,21508,125,3467
41425,85361,68095,1188,16078
41441,55655,29522,0,26133
41443,2,0,0,2
42201,638308,230504,344969,62835
42202,622621,167849,402314,52458
42203,122492,37090,24674,60728
42204,382563,294053,27045,61465
42205,147965,88442,46597,12926
42206,14,0,0,14
42207,252704,118581,103269,30854
42208,178521,102866,50908,24747
42209,201298,100128,64999,36171
42210,244226,205296,305,38625
42211,261460,115951,108860,36649
42212,248600,207573,0,41027
42213,244513,197794,4298,42421
42214,283462,195192,29171,59099
42307,52573,44374,1504,6695
42308,43518,36882,779,5857
42321,68431,61432,12,6987
42322,46112,39450,2,6660
42323,60733,50767,2920,7046
42342,1,1,0,0
42382,2,1,0,1
42383,28161,23050,200,4911
42388,4335,0,0,4335
42389,2450,2,0,2448
42391,43602,36164,93,7345
42411,149070,129357,0,19713
42421,1,1,0,0
43101,83687,14847,65281,3559
43102,105800,75091,24200,6509
43103,147630,2414,133116,12100
43104,201611,77780,109034,14797
43105,202336,62147,126941,13248
43201,8736,24,74,8638
43202,394663,132094,221704,40865
43203,95906,84738,0,11168
43204,89987,78154,1954,9879
43205,76522,67660,0,8862
43206,191971,170545,731,20695
43208,249100,208042,11836,29222
43210,184304,128025,34116,22163
43211,83259,68811,4244,10204
43212,137282,121636,3,15643
43213,209663,186042,377,23244
43214,130977,93950,19563,17464
43215,534939,470639,1761,62539
43216,73844,66560,310,6974
43322,1,0,0,1
43348,114864,100182,0,14682
43361,1,0,0,1
43364,24592,21886,0,2706
43365,1,1,0,0
43367,74113,66318,0,7795
43368,30771,28208,194,2369
43369,99427,89176,0,10251
43385,1,0,1,0
43403,71688,63789,1535,6364
43404,47483,43049,1735,2699
43422,3,3,0,0
43423,34254,19691,9906,4657
43424,55974,23742,25193,7039
43425,18651,15308,8,3335
43427,1,0,1,0
43428,58653,36328,14779,7546
43430,1,0,0,1
43432,25961,21949,1040,2972
43433,66439,57412,10,9017
43441,89927,4802,77298,7827
43442,27292,6096,19244,1952
43443,76713,6478,65067,5168
43444,59038,51808,0,7230
43447,262676,104239,125923,32514
43463,1,1,0,0
43468,33245,28105,7,5133
43482,113603,95781,1,17821
43484,26832,23881,0,2951
43501,52370,47238,0,5132
43505,53781,18511,28666,6604
43506,18739,16185,0,2554
43507,17495,14964,1,2530
43510,33794,29719,0,4075
43511,16505,6271,9531,703
43512,28376,24773,4,3599
43513,52492,47766,0,4726
43514,66814,60139,16,6659
43531,52374,46583,0,5791
44201,699697,97665,536680,65352
44202,129333,12062,106242,11029
44203,338294,102965,188616,46713
44204,289584,253813,2203,33568
44205,379681,234005,85708,59968
44206,287946,21678,235769,30499
44207,98852,14624,74269,9959
44208,332986,87768,196957,48261
44209,198876,171121,708,27047
