市区町村コード,筆数合計,公共座標の筆数,任意座標の筆数,数字以外で始まる地番の筆数
02423,13931,12998,0,933
02424,38435,32882,164,5389
02425,9936,9079,0,857
02426,11615,10428,16,1171
02441,53380,48493,0,4887
02442,88472,80211,0,8261
02443,42021,37278,0,4743
02445,74010,65103,0,8907
02446,42311,39739,0,2572
02450,33933,30292,117,3524
03201,383589,173665,173348,36576
03202,152713,70055,63081,19577
03203,103359,86182,2778,14399
03205,475924,395393,38091,42440
03206,318372,132292,155685,30395
03207,111139,91221,2695,17223
03208,177307,108317,41367,27623
03209,610001,535765,15601,58635
03210,87384,74351,2166,10867
03211,61627,39059,15018,7550
03213,124283,105344,264,18675
03214,173465,141930,12970,18565
03215,589235,278753,255014,55468
03216,80853,72992,2383,5478
03301,103908,85401,6396,12111
03302,43427,36335,175,6917
03303,74044,64041,804,9199
03305,25,0,0,25
03321,142528,115648,8571,18309
03322,85790,69398,10933,5459
03366,69885,59492,1577,8816
03381,89045,47826,32754,8465
03402,40981,31824,4809,4348
03441,39251,34381,0,4870
03461,34788,9230,21659,3899
03482,49905,22255,21810,5840
03483,68721,54318,0,14403
03484,20396,17034,511,2851
03485,12617,9288,267,3062
03487,1048,0,0,1048
03501,51987,43658,2770,5559
03503,16158,14076,1,2081
03506,32203,27171,0,5032
03507,61185,53020,1,8164
03524,70256,57122,1407,11727
04101,176657,65691,97362,13604
04102,105474,13700,87353,4421
04103,92910,26571,61759,4580
04104,163882,36724,113340,13818
04105,138883,60030,67722,11131
04202,331186,260188,36543,34455
04203,42568,40451,40,2077
04205,163928,120228,27228,16472
04206,129335,86804,27103,15428
04207,101615,87369,2472,11774
04208,132097,101552,20227,10318
04209,43677,36999,4042,2636
04211,67171,57945,2953,6273
04212,325700,279345,11405,34950
04213,414702,343851,23291,47560
04214,99621,84097,4992,10532
04215,408862,356780,5610,46472
04216,42671,35385,6895,391
04301,68279,50731,10845,6703
04302,28406,21539,2701,4166
04321,34402,31596,463,2343
04322,52983,47981,5,4997
04323,63598,53282,2920,7396
04324,61457,43045,9965,8447
04341,105330,92047,4666,8617
04361,82020,74514,21,7485
04362,61342,55053,107,6182
04401,38900,31937,2851,4112
04404,22069,19399,898,1772
04406,36758,33172,379,3207
04421,87511,59140,16144,12227
